channel_id,language
UC3VyG75zgWvLkK3mL77Yz3g,English
UCSW8FB6e8tUGEaDsoe7SlWw,English
UC0QAymHwRmS84Crn8Bgt0tQ,English
UCouyFdE9-Lrjo3M_2idKq1A,Spanish
UCfG2VhlQgy5bHGmkpeKcjVA,Spanish
UC6Xtu6v_op552SsOr5_jWrg,Japanese
UCMNVKIaw8hV8ln3dDE5z-hA,Japanese
UCsQCbl3a9FtYvA55BxdzYiQ,Japanese
UCXo8kuCtqLjL1EH6m4FJJNA,Japanese
UCjSFDgRCzh_1ZPhxChVgK7Q,Chinese
UCcvTOgUiplI80SPR73ogCEQ,Chinese
UCCD-nJGAxKmh1GnSuUx8Gig,French
UCDqH89_8ThHUWatP2sLC1Qw,Portuguese
UCoHJ7PkM6T92LwgJgrnDhWA,Spanish
UChyx8ibmFMTTe3aS_l_eaKA,German
UC-XUpEBvcQcRqMdtLhoXmOA,French
UCbC9Utt1c6UXRqWw2lOTCBg,French
UC_8_OHEb2-Xn8k00NVqnzlg,Portuguese
UClOb0MwFKLrj1g9BvDPenig,Portuguese
UC4Quzpomix0zB3CeKZtceuQ,Dutch
UC2xMra98Bvpcq9kNnnWC2xw,German
UCsYGAmiWIvOjvT9f1sgQXRw,German
UCwKGRXeMl_hsZnlOrTyZ9lQ,German
UCGJ9gQg6AKfjRmxTVS-8nzw,German
UCWBek-qVDuFNsvFbRClPjrA,Thai
UCjx6BYaOnbbfbIdsE3BEqWw,Thai
UC2IdTAO0WwpIHt8OupH_18Q,Thai
UCrMi6Eyw6G7j2XC7TBEW1gw,Thai
UCjEpP8NpiAtTwhQl-iO7fWw,Italian
UCC2E_oDRXJT9ZeGpnwVxk6A,Italian
UCegEedDeryCYSVT7eBCm-RQ,Italian
UCDNbk-uX4D6nsthi8L03fng,Russian
UCcZfmnPdD6ZgzzuD3fm6WIQ,Russian
UCstP8x5cV3_fMvVFT_aQ-nA,Russian
UC5ixjApuU6oJHS540E_SSSw,Korean
UC737T1zTN6MQ1uWorHVAXvA,Korean
UCxwSrFHHC3I9xFxrChfuqwA,Korean
UC-3wHyVaLCiujjjPYXtif5w,Korean
UCQdEQ6KW8fpwuVSdtalXupg,Arabic
UC8mUu9ygbDMDj5P6297H_dA,Arabic
UCX-XgyB8SQurLqXiT3b3wNg,Arabic
UCkwOyylAOUEwfvYPnps6yzg,Arabic
UCVt9SQjiL-R1GuH-5Uieovw,Hindi
UC87kNP67aPeGk3QqRSWuZnw,Indonesian
UCNtU6lkGwuoNHJB_FMZjK5w,Welsh
UCONrz2yl94NVTzy8ZQq7znQ,Tagalog
UCbWJOQ7td4kgHZPw0WCXMzQ,Serbain
UCgwKyufKMXaB-xjA05JqGxw,Greek
UC29y5DkSuf4ShtT3Vsv7Gag,Greek
UCaOl_QBOxS7YSrNWjw06xZQ,Norwegian
UCxdRJ5lW2QlUNRfff-ZoE-A,Norwegian
UCqc2J-HDTOfVOJNox2BdkUQ,Swedish
UCbG0VOqIo9EqEtfE3Ru2BaQ,Swedish
UCoDbIqejIAS9eZgYNzE2FCg,Finnish
UCvvo0wV6usH_SS-6Pcz9Qnw,Hungarian
UCMRaqTlmQ2Qvc5ynFOg84gw,Hungarian
UC3U2lryw5Hksu71fMwsGT9A,Vietnamese
UC4di2z7dbPra5xhp6BN7XwQ,Vietnamese
UCQS2_zzisMq5C_FggxsQwTQ,Cantonese
UC9xosUh_LZUdQv-kw38RehA,Cantonese
UCAXD2TuTkY_Tld20lYNL15g,Turkish
UCeMQiXmFNTtN3OHlNJxnnUw,Turkish
UCQg2AzkYEueS5giD84wxLdg,Ukrainian
UCTJzD-YVoDGolkN7lQ4ZasQ,Ukrainian
UCIbkDDk1BCPvh0rnL98jDIw,Russian
UCJgre6She3TQCVEXxk6kc8Q,Polish
UCoQSVlV8NfSm1IFK4hNAB9A,Polish
UC08Pyl-LVr2aKiREeY6zh-w,Polish
UC9cxiLPlL29mxFHgQegTlPQ,Chinese
